"","Gene_name","Description","log2FC_type2-type1","q-value","sex"
"854","LAMTOR1","Ragulator complex protein LAMTOR1",0.131336111709128,0.209693138374856,"female"
"855","ILF3","Interleukin enhancer-binding factor 3",0.130831616513181,0.291400398101654,"female"
"856","ANO6","Anoctamin-6",0.130603385991124,0.161985072350226,"female"
"857","CLASP2","CLIP-associating protein 2",0.130364428429004,0.198834033613924,"female"
"858","GLRX2","Glutaredoxin-2, mitochondrial",0.130328693345129,0.300176668923899,"female"
"859","NUDCD3","NudC domain-containing protein 3",0.130275924602691,0.250408335539365,"female"
"860","STAM","Signal transducing adapter molecule 1",0.129855724606907,0.1975967094988,"female"
"861","RNPEP","Aminopeptidase B",0.129759871309808,0.236481009687705,"female"
"862","NAPG","Gamma-soluble NSF attachment protein",0.129284859829026,0.235824645377992,"female"
"863","KRT9","Keratin, type I cytoskeletal 9",0.128026008136199,0.339149620320952,"female"
"864","LYPLA2","Acyl-protein thioesterase 2",0.126998819866778,0.198488886721909,"female"
"865","CCT2","T-complex protein 1 subunit beta",0.126877072670066,0.101544984033859,"female"
"866","APOE","Apolipoprotein E",0.126866218466009,0.218009952326372,"female"
"867","UBE2A","Ubiquitin-conjugating enzyme E2 A",0.126452023929442,0.201506169380048,"female"
"868","RAB7A","Ras-related protein Rab-7a",0.126368293462031,0.209693138374856,"female"
"869","ECPAS","Proteasome adapter and scaffold protein ECM29",0.126193213546768,0.101403984692192,"female"
"870","CD59","CD59 glycoprotein",0.125898226825537,0.145115208111904,"female"
"871","RBM8A","RNA-binding protein 8A",0.125431682765727,0.258320501072028,"female"
"872","USP47","Ubiquitin carboxyl-terminal hydrolase 47",0.125337603544082,0.174027525847116,"female"
"873","SMIM11","Small integral membrane protein 11",0.125122032888097,0.318621743706233,"female"
"874","HYOU1","Hypoxia up-regulated protein 1",0.124873201420483,0.130324680927184,"female"
"875","SYPL2","Synaptophysin-like protein 2",0.124739139206342,0.298365089963883,"female"
"876","MYG1","MYG1 exonuclease",0.12471094239592,0.18749444490831,"female"
"877","CMYA5","Cardiomyopathy-associated protein 5",0.124098729975636,0.161256049438502,"female"
"878","RAB14","Ras-related protein Rab-14",0.123703644588083,0.161031551164513,"female"
"879","ZBTB8OS","Protein archease",0.123598624152065,0.13464738502715,"female"
"880","IGHM","Immunoglobulin heavy constant mu",0.12318006016514,0.289863517615961,"female"
"881","SERPINF1","Pigment epithelium-derived factor",0.123156545542654,0.20952583732133,"female"
"882","CDNF","Cerebral dopamine neurotrophic factor",0.121430527801772,0.282129169442657,"female"
"883","EDF1","Endothelial differentiation-related factor 1",0.12137378280589,0.211424708070537,"female"
"884","BSG","Basigin",0.12074885851967,0.202082423763755,"female"
"885","MIPEP","Mitochondrial intermediate peptidase",0.120734558210392,0.31138812014492,"female"
"886","VARS1","Valine--tRNA ligase",0.120702072015689,0.161135937826669,"female"
"887","GPC1","Glypican-1",0.120579397554531,0.279183332728336,"female"
"888","PFDN1","Prefoldin subunit 1",0.120537512231852,0.148760993569174,"female"
"889","A1BG","Alpha-1B-glycoprotein",0.119673802397843,0.263916024831226,"female"
"890","IL18","Interleukin-18",0.119645843814373,0.285361365174922,"female"
"891","HOOK3","Protein Hook homolog 3",0.11913982087912,0.231781385277373,"female"
"892","SEPHS1","Selenide, water dikinase 1",0.118804566584391,0.252765846165314,"female"
"893","RPL23","60S ribosomal protein L23",0.118262954187689,0.26441686798116,"female"
"894","MDP1","Magnesium-dependent phosphatase 1",0.118244084805886,0.270971927387578,"female"
"895","SMAP","Small acidic protein",0.117930692807995,0.339775029388427,"female"
"896","HBB","Hemoglobin subunit beta",0.11750499974524,0.31706183858636,"female"
"897","RBP4","Retinol-binding protein 4",0.117438274941279,0.248858881293818,"female"
"898","H2AZ1","Histone H2A.Z",0.117360077436473,0.223681417135432,"female"
"899","FLAD1","FAD synthase",0.117117824800195,0.265737772056117,"female"
"900","GNL1","Guanine nucleotide-binding protein-like 1",0.116798436911417,0.332442431538242,"female"
"901","KLHL40","Kelch-like protein 40",0.116413196623451,0.236851063017363,"female"
"902","YBX3","Y-box-binding protein 3",0.116006207560277,0.228851502550678,"female"
"903","MAP2K1","Dual specificity mitogen-activated protein kinase kinase 1",0.115935924634634,0.215589577961305,"female"
"904","SH3BGR","SH3 domain-binding glutamic acid-rich protein",0.115731422271793,0.189652404060087,"female"
"905","TNPO1","Transportin-1",0.115137115107261,0.240033584707164,"female"
"906","PRPF40A","Pre-mRNA-processing factor 40 homolog A",0.114894717219299,0.311334013186454,"female"
"907","SGCA","Alpha-sarcoglycan",0.114642827433464,0.10512832167219,"female"
"908","ARIH1","E3 ubiquitin-protein ligase ARIH1",0.114578999275917,0.125371942144339,"female"
"909","VWF","von Willebrand factor",0.114230312421086,0.225425197015591,"female"
"910","HOMER1","Homer protein homolog 1",0.114077754264395,0.14335388284542,"female"
"911","A2M","Alpha-2-macroglobulin",0.113777238186417,0.284023232648074,"female"
"912","SF3B6","Splicing factor 3B subunit 6",0.113478584325735,0.245696059890234,"female"
"913","DNPEP","Aspartyl aminopeptidase",0.113072844372743,0.122802980622055,"female"
"914","ARHGAP10","Rho GTPase-activating protein 10",0.113047812219143,0.280407057514507,"female"
"915","MOB4","MOB-like protein phocein",0.113034116669175,0.263301825487644,"female"
"916","RPL6","60S ribosomal protein L6",0.113016595058738,0.211010408614843,"female"
"917","TOM1L2","TOM1-like protein 2",0.112807024527562,0.175669920449012,"female"
"918","EMC8","ER membrane protein complex subunit 8",0.112690763302684,0.324917873026267,"female"
"919","PRKDC","DNA-dependent protein kinase catalytic subunit",0.112650663405633,0.151809675812487,"female"
"920","RO60","RNA-binding protein RO60",0.112367178850237,0.222907948262954,"female"
"921","EIF4G2","Eukaryotic translation initiation factor 4 gamma 2",0.112067035388998,0.154002718401057,"female"
"922","FAM120A","Constitutive coactivator of PPAR-gamma-like protein 1",0.111943402504682,0.15610972899553,"female"
"923","USP7","Ubiquitin carboxyl-terminal hydrolase 7",0.11186379538368,0.177458851916032,"female"
"924","RPS21","40S ribosomal protein S21",0.111752262568276,0.158317483463855,"female"
"925","MRPS34","28S ribosomal protein S34, mitochondrial",0.11169669074963,0.245891556863716,"female"
"926","RPS28","40S ribosomal protein S28",0.111661107905078,0.27768220186897,"female"
"927","SERPINA7","Thyroxine-binding globulin",0.111606536381755,0.259384477356334,"female"
"928","F13A1","Coagulation factor XIII A chain",0.110995411383245,0.249758684246862,"female"
"929","ATP6V1B2","V-type proton ATPase subunit B, brain isoform",0.110624512335352,0.146733674039619,"female"
"930","SRPRB","Signal recognition particle receptor subunit beta",0.110513188098832,0.215643607909322,"female"
"931","GET3","ATPase GET3",0.110447007902556,0.11195929730539,"female"
"932","STRAP","Serine-threonine kinase receptor-associated protein",0.110281532134341,0.18981331240618,"female"
"933","PPP6R3","Serine/threonine-protein phosphatase 6 regulatory subunit 3",0.109724868236615,0.170134089092815,"female"
"934","IST1","IST1 homolog",0.109690279711309,0.238297495575786,"female"
"935","PSMB4","Proteasome subunit beta type-4",0.1096038898401,0.204408514123925,"female"
"936","DYNC1LI1","Cytoplasmic dynein 1 light intermediate chain 1",0.109517044838743,0.200670843442689,"female"
"937","PSMD1","26S proteasome non-ATPase regulatory subunit 1",0.109140013060674,0.133656708297029,"female"
"938","IGHV1-18","Immunoglobulin heavy variable 1-18",0.108980114350521,0.30097136949322,"female"
"939","LAMB1","Laminin subunit beta-1",0.108773138852948,0.185261784386864,"female"
"940","TBCEL","Tubulin-specific chaperone cofactor E-like protein",0.108710443371336,0.322794930741434,"female"
"941","CARD19","Caspase recruitment domain-containing protein 19",0.108501966437126,0.202082423763755,"female"
"942","ASPSCR1","Tether containing UBX domain for GLUT4",0.108378810199481,0.305525664879078,"female"
"943","FAM136A","Protein FAM136A",0.107701021714378,0.280623212590065,"female"
"944","RPL10A","60S ribosomal protein L10a",0.107229553864336,0.234780628015978,"female"
"945","ADSS1","Adenylosuccinate synthetase isozyme 1",0.107032920177051,0.176129008658475,"female"
"946","HEBP2","Heme-binding protein 2",0.106864074017489,0.111747089393347,"female"
"947","STEAP4","Metalloreductase STEAP4",0.106723854791881,0.315680657838157,"female"
"948","OSBPL9","Oxysterol-binding protein-related protein 9",0.106416078716208,0.322446045048305,"female"
"949","PRMT1","Protein arginine N-methyltransferase 1",0.106215299246511,0.163587135851611,"female"
"950","KLHL31","Kelch-like protein 31",0.105897850628955,0.24096741126292,"female"
"951","RPA3","Replication protein A 14 kDa subunit",0.10555606906652,0.211010408614843,"female"
"952","EIF2B3","Translation initiation factor eIF-2B subunit gamma",0.105453825292049,0.288288819797736,"female"
"953","RPS29","40S ribosomal protein S29",0.105232115955165,0.300748784920748,"female"
"954","HNRNPH3","Heterogeneous nuclear ribonucleoprotein H3",0.104884008795501,0.262949454700157,"female"
"955","DCTN2","Dynactin subunit 2",0.104635631731334,0.145268896008666,"female"
"956","ABCF2","ATP-binding cassette sub-family F member 2",0.104437269518471,0.294506526821291,"female"
"957","LUC7L2","Putative RNA-binding protein Luc7-like 2",0.104419655622848,0.339149620320952,"female"
"958","GRSF1","G-rich sequence factor 1",0.104252413187602,0.169703570288941,"female"
"959","UBL5","Ubiquitin-like protein 5",0.104195725039562,0.238297495575786,"female"
"960","YWHAG","14-3-3 protein gamma",0.104158821289927,0.167955598301996,"female"
"961","PSMC2","26S proteasome regulatory subunit 7",0.103953977110733,0.116671016309441,"female"
"962","ERAP1","Endoplasmic reticulum aminopeptidase 1",0.103893736080131,0.274525228413777,"female"
"963","PITPNA","Phosphatidylinositol transfer protein alpha isoform",0.103592156585027,0.187499364901182,"female"
"964","PCYOX1","Prenylcysteine oxidase 1",0.103249003420364,0.201693887061604,"female"
"965","MBNL1","Muscleblind-like protein 1",0.103050066633587,0.19943564604946,"female"
"966","TOLLIP","Toll-interacting protein",0.103049547537143,0.238414010787395,"female"
"967","APOA4","Apolipoprotein A-IV",0.103002928389648,0.280407057514507,"female"
"968","MRPL47","39S ribosomal protein L47, mitochondrial",0.102974292312171,0.328128265861312,"female"
"969","MRPS10","28S ribosomal protein S10, mitochondrial",0.10288497030187,0.315680657838157,"female"
"970","PAFAH1B3","Platelet-activating factor acetylhydrolase IB subunit alpha1",0.102749095641567,0.203385901194733,"female"
"971","SPTB","Spectrin beta chain, erythrocytic",0.102709203986867,0.248858881293818,"female"
"972","SF3B1","Splicing factor 3B subunit 1",0.102011185599375,0.213324807418182,"female"
"973","LHPP","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase",0.101982153078445,0.23745199809126,"female"
"974","CIAPIN1","Anamorsin",0.101892121094906,0.251746267449406,"female"
"975","SERPINA3","Alpha-1-antichymotrypsin",0.101763617544785,0.274754550402031,"female"
"976","ALAD","Delta-aminolevulinic acid dehydratase",0.101761328724038,0.280360135128922,"female"
"977","CUTA","Protein CutA",0.101657506850859,0.198488886721909,"female"
"978","ATRN","Attractin",0.101150609571226,0.323631140651077,"female"
"979","CKM","Creatine kinase M-type",0.101123354066729,0.176129008658475,"female"
"980","HNRNPU","Heterogeneous nuclear ribonucleoprotein U",0.100452017812556,0.209561485570766,"female"
"981","DDRGK1","DDRGK domain-containing protein 1",0.100379052335372,0.27594885363352,"female"
"982","GRPEL1","GrpE protein homolog 1, mitochondrial",0.0997125654862145,0.1994531632035,"female"
"983","WDR77","Methylosome protein 50",0.09958069269668,0.202145263992498,"female"
"984","DYNC1I2","Cytoplasmic dynein 1 intermediate chain 2",0.0995109396609895,0.201538269091193,"female"
"985","HSP90AB1","Heat shock protein HSP 90-beta",0.0990439380844812,0.217044508801651,"female"
"986","PSMD10","26S proteasome non-ATPase regulatory subunit 10",0.0989929557431477,0.170102054016919,"female"
"987","CPNE3","Copine-3",0.0989349126062375,0.23745199809126,"female"
"988","PSMD2","26S proteasome non-ATPase regulatory subunit 2",0.0987814794877142,0.164479894894847,"female"
"989","SCRIB","Protein scribble homolog",0.098765025532785,0.345177086484824,"female"
"990","S100A11","Protein S100-A11",0.0986094483899329,0.311203681679723,"female"
"991","SERPINC1","Antithrombin-III",0.0984966314605984,0.227667645968672,"female"
"992","THAP4","Peroxynitrite isomerase THAP4",0.0984964423277148,0.236725624249208,"female"
"993","LAMTOR3","Ragulator complex protein LAMTOR3",0.0984678040493865,0.20223485005943,"female"
"994","ARPC5L","Actin-related protein 2/3 complex subunit 5-like protein",0.0984640330105542,0.27335634242223,"female"
"995","HNRNPC","Heterogeneous nuclear ribonucleoproteins C1/C2",0.0983469811294899,0.221073300702601,"female"
"996","DYRK1A","Dual specificity tyrosine-phosphorylation-regulated kinase 1A",0.0979717935708031,0.271421073521246,"female"
"997","SEPTIN2","Septin-2",0.0978766874079966,0.157722682197753,"female"
"998","FN1","Fibronectin",0.0960102033803896,0.250727947248166,"female"
"999","PSMA1","Proteasome subunit alpha type-1",0.0959610415684864,0.202082423763755,"female"
"1000","KSR2","Kinase suppressor of Ras 2",0.0957381252674274,0.300748784920748,"female"
"1001","SEC23IP","SEC23-interacting protein",0.0955611038929494,0.206016641338092,"female"
"1002","MYOZ1","Myozenin-1",0.0951529278265681,0.197119696432193,"female"
"1003","QARS1","Glutamine--tRNA ligase",0.0950290839636683,0.159504537968281,"female"
"1004","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",0.0947784251115316,0.181678860466685,"female"
"1005","CAND1","Cullin-associated NEDD8-dissociated protein 1",0.0944085168614262,0.197176003544737,"female"
"1006","CASP7","Caspase-7",0.0943134503027636,0.362657099567563,"female"
"1007","RTCA","RNA 3'-terminal phosphate cyclase",0.0940130210649759,0.217058067870021,"female"
"1008","AKT2","RAC-beta serine/threonine-protein kinase",0.0939626015676769,0.29474307316794,"female"
"1009","GCN1","eIF-2-alpha kinase activator GCN1",0.0939264810307954,0.276965488402289,"female"
"1010","SNX5","Sorting nexin-5",0.0936160527727736,0.224943990148762,"female"
"1011","MSRB3","Methionine-R-sulfoxide reductase B3",0.0934424054450584,0.280706147888113,"female"
"1012","STOML2","Stomatin-like protein 2, mitochondrial",0.0932805272071207,0.301042113236417,"female"
"1013","LRRC2","Leucine-rich repeat-containing protein 2",0.092963687119914,0.317182647759635,"female"
"1014","IGHG2","Immunoglobulin heavy constant gamma 2",0.0927784055739735,0.306562492544259,"female"
"1015","CAPN3","Calpain-3",0.0922272874979058,0.205250815930302,"female"
"1016","MAPT","Microtubule-associated protein tau",0.0920958870654527,0.290803800742742,"female"
"1017","FAM98B","Protein FAM98B",0.0919801763956158,0.297706641797744,"female"
"1018","RAP1B","Ras-related protein Rap-1b",0.0918573157742575,0.301903086784048,"female"
"1019","YWHAH","14-3-3 protein eta",0.091806782943042,0.202082423763755,"female"
"1020","PPIE","Peptidyl-prolyl cis-trans isomerase E",0.0918059500983528,0.283879736007932,"female"
"1021","JPT2","Jupiter microtubule associated homolog 2",0.0917822039652467,0.283879736007932,"female"
"1022","NXN","Nucleoredoxin",0.0916473002135714,0.235647780381062,"female"
"1023","RPL23A","60S ribosomal protein L23a",0.0916455760225503,0.237660008037015,"female"
"1024","RPL3L","60S ribosomal protein L3-like",0.0916203247733804,0.270128808041552,"female"
"1025","KTN1","Kinectin",0.0911842929680482,0.201693887061604,"female"
"1026","PRPSAP2","Phosphoribosyl pyrophosphate synthase-associated protein 2",0.0910187603212727,0.27961090156794,"female"
"1027","EEF2","Elongation factor 2",0.0907792603490911,0.166915523581869,"female"
"1028","SCRN3","Secernin-3",0.0907762687919131,0.209295263026722,"female"
"1029","ACSF3","Malonate--CoA ligase ACSF3, mitochondrial",0.0904798146259171,0.279689398056173,"female"
"1030","FGA","Fibrinogen alpha chain",0.0904169799556573,0.324917873026267,"female"
"1031","RPS25","40S ribosomal protein S25",0.0902635423016278,0.307510534614812,"female"
"1032","NEK9","Serine/threonine-protein kinase Nek9",0.0901690852622554,0.283260688364956,"female"
"1033","BCAP29","B-cell receptor-associated protein 29",0.0900370454719024,0.322794930741434,"female"
"1034","FKBP4","Peptidyl-prolyl cis-trans isomerase FKBP4",0.0898600772836122,0.242737032356751,"female"
"1035","SQSTM1","Sequestosome-1",0.0898188268651108,0.273800709911324,"female"
"1036","HLA-DRB5","HLA class II histocompatibility antigen, DR beta 5 chain",0.0897509003831463,0.351657312228149,"female"
"1037","TUBG1","Tubulin gamma-1 chain",0.0896510973009406,0.327621973065107,"female"
"1038","KIAA1217","Sickle tail protein homolog",0.0894268162428276,0.285234892373549,"female"
"1039","MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic",0.0890128105517896,0.188129437381278,"female"
"1040","DUSP3","Dual specificity protein phosphatase 3",0.0887536624000305,0.20804428093964,"female"
"1041","PLCB1","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",0.0887361655287524,0.311191426634924,"female"
"1042","TBC1D15","TBC1 domain family member 15",0.088711198914611,0.270853622621421,"female"
"1043","HSPA2","Heat shock-related 70 kDa protein 2",0.0881044595802223,0.31582804155859,"female"
"1044","IDE","Insulin-degrading enzyme",0.0879749892924302,0.237535410180677,"female"
"1045","ALB","Albumin",0.0879317442195884,0.263148709452883,"female"
"1046","MAP2K2","Dual specificity mitogen-activated protein kinase kinase 2",0.0872781963489793,0.243274527743643,"female"
"1047","HNRNPR","Heterogeneous nuclear ribonucleoprotein R",0.087192164836452,0.318606617122201,"female"
"1048","ABCC1","Multidrug resistance-associated protein 1",0.087006669075814,0.330010989794568,"female"
"1049","ILKAP","Integrin-linked kinase-associated serine/threonine phosphatase 2C",0.0869089734903348,0.289713587122181,"female"
"1050","NEB","Nebulin",0.0857247854940937,0.292332805180739,"female"
"1051","LMNB2","Lamin-B2",0.0855992282527325,0.21541774332633,"female"
"1052","RPS3A","40S ribosomal protein S3a",0.0855232484063961,0.268615917813238,"female"
"1053","GATD1","Glutamine amidotransferase-like class 1 domain-containing protein 1",0.0854705491777334,0.303784132500224,"female"
"1054","PSMD13","26S proteasome non-ATPase regulatory subunit 13",0.0853940551204584,0.152040730717181,"female"
"1055","PSMD14","26S proteasome non-ATPase regulatory subunit 14",0.0851654930582537,0.260754790601324,"female"
"1056","PRPF6","Pre-mRNA-processing factor 6",0.0851619461126525,0.273800709911324,"female"
"1057","FBLN2","Fibulin-2",0.0850329743658964,0.329087308562367,"female"
"1058","WDR26","WD repeat-containing protein 26",0.0846681354479397,0.31920734591057,"female"
"1059","FGG","Fibrinogen gamma chain",0.0844474500322558,0.318137317890074,"female"
"1060","ARHGAP1","Rho GTPase-activating protein 1",0.0839405575702603,0.29411978790803,"female"
"1061","AHCYL1","S-adenosylhomocysteine hydrolase-like protein 1",0.0838097456430766,0.297628817909588,"female"
"1062","RAB11B","Ras-related protein Rab-11B",0.0837574002927948,0.262568730748655,"female"
"1063","DMD","Dystrophin",0.0837385498018275,0.202832239715834,"female"
"1064","TNKS1BP1","182 kDa tankyrase-1-binding protein",0.0834996065791724,0.368110858987558,"female"
"1065","WDR1","WD repeat-containing protein 1",0.0833651606428276,0.204623239443539,"female"
"1066","EIF3G","Eukaryotic translation initiation factor 3 subunit G",0.0830538679382915,0.273381357800104,"female"
"1067","RPS7","40S ribosomal protein S7",0.082723162278846,0.309806450856824,"female"
"1068","RPL27","60S ribosomal protein L27",0.0824658352737675,0.257725732866414,"female"
"1069","TPT1","Translationally-controlled tumor protein",0.0824225487053987,0.226838020123321,"female"
"1070","NARS1","Asparagine--tRNA ligase, cytoplasmic",0.0821337993594522,0.199751087690356,"female"
"1071","SEC31A","Protein transport protein Sec31A",0.0819536521339188,0.303261888069484,"female"
"1072","FN3K","Fructosamine-3-kinase",0.0817652019284587,0.224418734195073,"female"
"1073","C4A","Complement C4-A",0.0816915050496707,0.311254771327275,"female"
"1074","TWF2","Twinfilin-2",0.0814499736258227,0.228851502550678,"female"
"1075","RPLP0","60S acidic ribosomal protein P0",0.0812660690730578,0.227435570938473,"female"
"1076","CCT6A","T-complex protein 1 subunit zeta",0.0804058721969376,0.220505668206666,"female"
"1077","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.0793746162443778,0.313072541891491,"female"
"1078","PTMS","Parathymosin",0.0792752687764544,0.306779335410324,"female"
"1079","EIF4A1","Eukaryotic initiation factor 4A-I",0.0791152610382486,0.277518578671357,"female"
"1080","PRMT5","Protein arginine N-methyltransferase 5",0.0778234594116505,0.221561824987917,"female"
"1081","TF","Serotransferrin",0.0777457392892131,0.311191426634924,"female"
"1082","RUVBL1","RuvB-like 1",0.0773895511235239,0.268615917813238,"female"
"1083","GDE1","Glycerophosphodiester phosphodiesterase 1",0.0773881464667276,0.350960707429939,"female"
"1084","SELENOO","Protein adenylyltransferase SelO, mitochondrial",0.0769956190638794,0.325445465049607,"female"
"1085","PSMC5","26S proteasome regulatory subunit 8",0.0769446429895897,0.202082423763755,"female"
"1086","TALDO1","Transaldolase",0.0768039743220523,0.256040630538391,"female"
"1087","NAP1L1","Nucleosome assembly protein 1-like 1",0.0767731459380805,0.281911920725851,"female"
"1088","YME1L1","ATP-dependent zinc metalloprotease YME1L1",0.0766432184160966,0.360891214701148,"female"
"1089","IGBP1","Immunoglobulin-binding protein 1",0.0765549939551988,0.214422458467777,"female"
"1090","BCAP31","B-cell receptor-associated protein 31",0.0763305108023111,0.274088416337194,"female"
"1091","AHSG","Alpha-2-HS-glycoprotein",0.0752164052332471,0.322794930741434,"female"
"1092","TSSC4","Protein TSSC4",0.074931956548653,0.332124058538938,"female"
"1093","PICALM","Phosphatidylinositol-binding clathrin assembly protein",0.0748364632694329,0.341254599184853,"female"
"1094","ACSL3","Fatty acid CoA ligase Acsl3",0.0748340455488385,0.248347770301054,"female"
"1095","SH3BGRL","Adapter SH3BGRL",0.0746270873774417,0.328022460867292,"female"
"1096","CBR1","Carbonyl reductase [NADPH] 1",0.07423498823632,0.297748212553483,"female"
"1097","MT-ND5","NADH-ubiquinone oxidoreductase chain 5",0.074083558446544,0.357098861555585,"female"
"1098","DUSP22","Dual specificity protein phosphatase 22",0.0738944500663496,0.328504057495281,"female"
"1099","PSMB5","Proteasome subunit beta type-5",0.073812447957236,0.244753131225869,"female"
"1100","ACTA1","Actin, alpha skeletal muscle",0.0737328117588341,0.211663568089489,"female"
"1101","VAMP2","Vesicle-associated membrane protein 2",0.0732531525706506,0.341100538397261,"female"
"1102","PLCD4","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4",0.0731268429565439,0.22347411395017,"female"
"1103","EEF1A2","Elongation factor 1-alpha 2",0.0726726802120261,0.251656157093931,"female"
"1104","SNX6","Sorting nexin-6",0.0726646923676775,0.323816060520016,"female"
"1105","SMARCC2","SWI/SNF complex subunit SMARCC2",0.0722830830605581,0.316888232913173,"female"
"1106","PDK4","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial",0.0722351060862767,0.370272661394417,"female"
"1107","APEH","Acylamino-acid-releasing enzyme",0.0714507522978245,0.207242573581718,"female"
"1108","CDC37L1","Hsp90 co-chaperone Cdc37-like 1",0.0711138478218416,0.354962578063653,"female"
"1109","PPTC7","Protein phosphatase PTC7 homolog",0.0710665126833394,0.349707021188769,"female"
"1110","HDLBP","Vigilin",0.070909715810755,0.329974215755958,"female"
"1111","PDAP1","28 kDa heat- and acid-stable phosphoprotein",0.0706599932552265,0.258063590905426,"female"
"1112","MOCS3","Adenylyltransferase and sulfurtransferase MOCS3",0.0704915645511566,0.331613767950232,"female"
"1113","IQGAP1","Ras GTPase-activating-like protein IQGAP1",0.0702439643617314,0.287345859987488,"female"
"1114","APOA1","Apolipoprotein A-I",0.0700984574497738,0.332124058538938,"female"
"1115","SCFD2","Sec1 family domain-containing protein 2",0.0699250775034042,0.267698850015574,"female"
"1116","PSMA5","Proteasome subunit alpha type-5",0.0696822109542001,0.215792900310584,"female"
"1117","FAF1","FAS-associated factor 1",0.0696149746291717,0.319161185686456,"female"
"1118","XIRP1","Xin actin-binding repeat-containing protein 1",0.069007324433553,0.351657312228149,"female"
"1119","SRSF1","Serine/arginine-rich splicing factor 1",0.0690001319486129,0.302251597946792,"female"
"1120","RPS6KA3","Ribosomal protein S6 kinase alpha-3",0.0680463536137346,0.204408514123925,"female"
"1121","OLA1","Obg-like ATPase 1",0.0680415308323017,0.252975595928042,"female"
"1122","UBE2F","NEDD8-conjugating enzyme UBE2F",0.0678627713769053,0.322425205812502,"female"
"1123","MYPN","Myopalladin",0.0678185743532662,0.26872615382608,"female"
"1124","MPI","Mannose-6-phosphate isomerase",0.0675154770451591,0.259384477356334,"female"
"1125","RTN4","Reticulon-4",0.0674170983447606,0.302419787085163,"female"
"1126","AP1G1","AP-1 complex subunit gamma-1",0.0668593926816605,0.360891214701148,"female"
"1127","KRT2","Keratin, type II cytoskeletal 2 epidermal",0.066699481327646,0.372083078449163,"female"
"1128","CUL3","Cullin-3",0.066479264414733,0.241682174949652,"female"
"1129","HARS1","Histidine--tRNA ligase, cytoplasmic",0.0662167517665306,0.242526525098007,"female"
"1130","CBX3","Chromobox protein homolog 3",0.0660752226809329,0.311191426634924,"female"
"1131","MFN1","Mitofusin-1",0.0660361154143772,0.337425300996032,"female"
"1132","CENPV","Centromere protein V",0.0657042439657793,0.324995696766753,"female"
"1133","ARL1","ADP-ribosylation factor-like protein 1",0.0654199303133502,0.345177086484824,"female"
"1134","PHPT1","14 kDa phosphohistidine phosphatase",0.065271136892223,0.249322847703236,"female"
"1135","PPP2R2A","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",0.0651821954097933,0.284023232648074,"female"
"1136","KRT1","Keratin, type II cytoskeletal 1",0.0651636799926401,0.369707310631504,"female"
"1137","APOA2","Apolipoprotein A-II",0.064885972601699,0.324437528734307,"female"
"1138","KYAT1","Kynurenine--oxoglutarate transaminase 1",0.0648242363863485,0.26815904126129,"female"
"1139","SEC22B","Vesicle-trafficking protein SEC22b",0.0646779452770474,0.262568730748655,"female"
"1140","PSMD7","26S proteasome non-ATPase regulatory subunit 7",0.0644454186614656,0.289832130636509,"female"
"1141","COPS5","COP9 signalosome complex subunit 5",0.0644104581824116,0.233937985301721,"female"
"1142","VPS45","Vacuolar protein sorting-associated protein 45",0.0639652148685173,0.332442431538242,"female"
"1143","BNIP3","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3",0.0637028173535459,0.313664387495489,"female"
"1144","EPB41","Protein 4.1",0.063472525496751,0.354067658120387,"female"
"1145","EIF1","Eukaryotic translation initiation factor 1",0.0633779181354797,0.283879736007932,"female"
"1146","DDX19B","ATP-dependent RNA helicase DDX19B",0.0625087725623086,0.275947721855894,"female"
"1147","BZW2","eIF5-mimic protein 1",0.0623724232561695,0.270859231930274,"female"
"1148","RPS9","40S ribosomal protein S9",0.0622690996918855,0.349282719739516,"female"
"1149","DAG1","Dystroglycan 1",0.06208315836653,0.259014370265502,"female"
"1150","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein",0.0615726851415488,0.277094026159246,"female"
"1151","ALDH1A2","Retinal dehydrogenase 2",0.0607817196241101,0.360667345441375,"female"
"1152","COPS6","COP9 signalosome complex subunit 6",0.0596019163174457,0.322794930741434,"female"
"1153","CAMK2B","Calcium/calmodulin-dependent protein kinase type II subunit beta",0.0595111778291617,0.259797644795236,"female"
"1154","ENSA","Alpha-endosulfine",0.0594802134873511,0.246533022984905,"female"
"1155","KHSRP","Far upstream element-binding protein 2",0.059454343831348,0.280706147888113,"female"
"1156","CCDC51","Mitochondrial potassium channel",0.0590270318579815,0.298230318847097,"female"
"1157","MAP2K4","Dual specificity mitogen-activated protein kinase kinase 4",0.058466781538014,0.265247746041589,"female"
"1158","CLPB","Caseinolytic peptidase B protein homolog",0.0584103180014033,0.34491674339121,"female"
"1159","CPSF7","Cleavage and polyadenylation specificity factor subunit 7",0.0581960662763183,0.339149620320952,"female"
